Roadway.Name,From,To,id,ZIP CODE,int1,int2,zip1,zip2
BEDFORD AVENUE,ST MARKS AVENUE,PROSPECT PLACE,589,,BEDFORD+AVENUE+%26+ST+MARKS+AVENUE,BEDFORD+AVENUE+%26+PROSPECT+PLACE,11216,11216
BEDFORD AVENUE,HANCOCK STREET,HALSEY STREET,590,,BEDFORD+AVENUE+%26+HANCOCK+STREET,BEDFORD+AVENUE+%26+HALSEY+STREET,11216,11216
BEDFORD AVENUE,LORIMER STREET,UNION AVENUE,591,,BEDFORD+AVENUE+%26+LORIMER+STREET,BEDFORD+AVENUE+%26+UNION+AVENUE,11222,CTYPE
BEDFORD PARK BOULEVARD,GRAND CONCOURSE,GRAND CONCOURSE,592,,BEDFORD+PARK+BOULEVARD+%26+GRAND+CONCOURSE,BEDFORD+PARK+BOULEVARD+%26+GRAND+CONCOURSE,10468,10468
BEDFORD PARK BOULEVARD,GRAND CONCOURSE,VALENTINE AVENUE,593,,BEDFORD+PARK+BOULEVARD+%26+GRAND+CONCOURSE,BEDFORD+PARK+BOULEVARD+%26+VALENTINE+AVENUE,10468,10458
BEDFORD PARK BOULEVARD,GRAND CONCOURSE,BRIGGS AVENUE,594,,BEDFORD+PARK+BOULEVARD+%26+GRAND+CONCOURSE,BEDFORD+PARK+BOULEVARD+%26+BRIGGS+AVENUE,10468,10458
BEDFORD PARK BOULEVARD  SERVICE ROAD,GRAND CONCOURSE,VALENTINE AVENUE,595,,BEDFORD+PARK+BOULEVARD++SERVICE+ROAD+%26+GRAND+CONCOURSE,BEDFORD+PARK+BOULEVARD++SERVICE+ROAD+%26+VALENTINE+AVENUE,CTYPE,CTYPE
BEDFORD PARK BOULEVARD MAIN ROAD,GRAND CONCOURSE,VALENTINE AVENUE,596,,BEDFORD+PARK+BOULEVARD+MAIN+ROAD+%26+GRAND+CONCOURSE,BEDFORD+PARK+BOULEVARD+MAIN+ROAD+%26+VALENTINE+AVENUE,CTYPE,CTYPE
BELL BOULEVARD,67 AVENUE,68 AVENUE,597,,BELL+BOULEVARD+%26+67+AVENUE,BELL+BOULEVARD+%26+68+AVENUE,11364,11364
BELL BOULEVARD,45 DRIVE,46 AVENUE,598,,BELL+BOULEVARD+%26+45+DRIVE,BELL+BOULEVARD+%26+46+AVENUE,11361,11361
BELL BOULEVARD,67 AVENUE,67 AVENUE,599,,BELL+BOULEVARD+%26+67+AVENUE,BELL+BOULEVARD+%26+67+AVENUE,11364,11364
